mission_time, mot_motorspeed_l, mot_motorspeed_r
1.000000, 0.300000, 0.300000
2.000000, 0.300000, 0.300000
3.000000, 0.300000, 0.300000
4.000000, -0.300000, 0.300000
5.000000, 0.300000, 0.300000
6.000000, 0.300000, 0.300000
7.000000, 0.300000, 0.300000
8.000000, -0.300000, 0.300000
9.000000, 0.300000, 0.300000
10.000000, 0.300000, 0.300000
11.000000, 0.300000, 0.300000
12.000000, -0.300000, 0.300000
13.000000, 0.300000, 0.300000
14.000000, 0.300000, 0.300000
15.000000, 0.300000, 0.300000
16.000000, -0.300000, 0.300000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
